iter	RMSE
0	76343.1044
1	76040.76049
2	75755.46769
3	75491.89654
4	75234.87805
5	74994.50165
6	74764.84515
7	74547.79123
8	74333.68614
9	74132.75352
10	73937.3207
11	73753.36683
12	73570.62419
13	73402.81417
14	73241.0272
15	73087.86323
16	72940.59705
17	72805.15657
18	72666.24023
19	72542.82959
20	72426.9156
21	72314.86395
22	72206.6254
23	72091.65982
24	71988.19923
25	71888.76501
26	71802.97044
27	71717.2891
28	71627.32457
29	71546.05269
30	71471.33804
31	71397.21901
32	71324.00789
33	71257.99651
34	71194.45604
35	71129.87781
36	71076.73949
37	71013.90627
38	70967.07677
39	70910.26918
40	70861.57075
41	70804.40389
42	70759.6681
43	70720.69331
44	70675.54103
45	70636.24814
46	70593.54827
47	70549.60093
48	70497.45235
49	70455.94986
50	70412.74714
51	70385.18191
52	70346.80714
53	70309.36823
54	70275.17339
55	70243.54939
56	70208.70187
57	70172.64655
58	70143.92775
59	70110.44137
60	70084.35564
61	70057.20876
62	70023.54885
63	69999.30867
64	69979.36703
65	69956.85121
66	69938.45307
67	69908.07105
68	69878.31005
69	69857.08202
70	69837.74282
71	69813.6347
72	69789.90601
73	69771.48035
74	69756.61891
75	69731.06925
76	69714.89165
77	69697.3581
78	69681.49987
79	69664.24057
80	69649.56248
81	69623.25406
82	69605.41736
83	69589.37408
84	69570.6529
85	69559.65266
86	69535.07656
87	69516.02307
88	69504.85933
89	69502.3381
90	69486.18348
91	69467.09521
92	69455.02224
93	69439.73151
94	69424.84908
95	69411.29575
96	69395.67652
97	69380.67987
98	69374.72847
99	69355.07128
