iter	Passed	Remaining
0	180	17891
1	325	15971
2	463	14973
3	610	14661
4	748	14229
5	906	14206
6	1047	13921
7	1201	13820
8	1348	13638
9	1515	13641
10	1657	13408
11	1804	13231
12	1932	12932
13	2055	12627
14	2179	12351
15	2320	12182
16	2472	12071
17	2628	11974
18	2766	11795
19	2905	11622
20	3050	11477
21	3187	11301
22	3322	11122
23	3484	11035
24	3614	10844
25	3770	10732
26	3911	10575
27	4043	10398
28	4187	10251
29	4299	10032
30	4412	9820
31	4541	9650
32	4658	9457
33	4770	9261
34	4895	9091
35	4994	8879
36	5092	8670
37	5197	8480
38	5303	8294
39	5398	8097
40	5500	7915
41	5605	7740
42	5706	7564
43	5810	7395
44	5911	7225
45	6011	7056
46	6116	6897
47	6213	6731
48	6314	6572
49	6413	6413
50	6512	6256
51	6612	6104
52	6718	5957
53	6820	5810
54	6923	5664
55	7041	5532
56	7184	5419
57	7329	5307
58	7486	5202
59	7625	5083
60	7782	4975
61	7938	4865
62	8088	4750
63	8229	4629
64	8351	4497
65	8471	4364
66	8595	4233
67	8737	4111
68	8878	3989
69	9022	3866
70	9145	3735
71	9275	3606
72	9397	3475
73	9559	3358
74	9682	3227
75	9826	3103
76	9952	2972
77	10062	2838
78	10178	2705
79	10302	2575
80	10423	2445
81	10555	2317
82	10703	2192
83	10837	2064
84	10963	1934
85	11187	1821
86	11308	1689
87	11425	1557
88	11556	1428
89	11613	1290
90	11756	1162
91	11910	1035
92	12045	906
93	12176	777
94	12298	647
95	12414	517
96	12519	387
97	12622	257
98	12726	128
99	12854	0
